iter	Passed	Remaining
0	0	358
1	0	284
2	0	270
3	1	258
4	1	260
5	1	255
6	1	255
7	2	252
8	2	253
9	2	255
10	2	253
11	3	248
12	3	245
13	3	243
14	3	240
15	3	238
16	4	237
17	4	235
18	4	236
19	4	234
20	4	232
21	5	230
22	5	229
23	5	227
24	5	225
25	6	225
26	6	224
27	6	223
28	6	221
29	6	220
30	7	219
31	7	221
32	7	222
33	7	222
34	8	223
35	8	223
36	8	223
37	8	222
38	9	222
39	9	222
40	9	221
41	9	221
42	9	220
43	10	219
44	10	218
45	10	219
46	10	218
47	11	218
48	11	217
49	11	216
50	11	215
51	11	214
52	11	213
53	12	212
54	12	212
55	12	211
56	12	211
57	12	210
58	13	209
59	13	209
60	13	208
61	13	208
62	13	207
63	14	207
64	14	206
65	14	206
66	14	207
67	15	206
68	15	206
69	15	205
70	15	204
71	15	204
72	16	203
73	16	203
74	16	203
75	16	202
76	16	202
77	17	202
78	17	202
79	17	202
80	17	201
81	17	201
82	18	199
83	18	199
84	18	198
85	18	198
86	18	198
87	19	198
88	19	197
89	19	197
90	19	197
91	19	196
92	20	196
93	20	196
94	20	196
95	20	195
96	20	195
97	21	194
98	21	194
99	21	194
100	21	193
101	22	193
102	22	193
103	22	193
104	22	193
105	23	194
106	23	194
107	23	193
108	23	193
109	23	193
110	24	192
111	24	192
112	24	192
113	24	191
114	24	191
115	25	191
116	25	192
117	25	193
118	26	193
119	26	193
120	26	193
121	26	192
122	27	193
123	27	193
124	27	193
125	27	193
126	28	193
127	28	193
128	28	193
129	31	208
130	31	208
131	31	208
132	31	208
133	32	207
134	32	207
135	32	207
136	33	208
137	33	208
138	33	208
139	33	208
140	34	208
141	34	207
142	34	207
143	34	207
144	35	209
145	35	209
146	35	208
147	36	208
148	36	208
149	36	208
150	37	208
151	37	208
152	37	208
153	37	207
154	38	207
155	38	207
156	38	207
157	38	207
158	39	207
159	40	211
160	40	210
161	40	210
162	40	210
163	41	210
164	41	210
165	41	210
166	42	209
167	42	209
168	42	209
